Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
12/13/2012,531.15,537.6399,525.8,529.69,22330700,0,1,67.61539399,68.44155824,66.934339,67.42953599,156314900
12/12/2012,547.77,548,536.2701,539,17398000,0,1,69.73111995,69.76039895,68.26718271,68.61469897,121786000
12/11/2012,539.77,549.56,537.37,541.388,21155200,0,1,68.71271997,69.95898695,68.40719997,68.91869137,148086400
12/10/2012,525,538.51,521.58,529.8209,22517300,0,1,66.832499,68.55232197,66.397133,67.44619956,157621100
12/7/2012,553.4,555.2,530,533.25,28108600,0,1,70.44781894,70.67695894,67.46899899,67.88272398,196760200
12/6/2012,528.94,553.31,518.63,547.2445,42043300,0,1,67.33406099,70.43636194,66.02159801,69.66422381,294303100
12/5/2012,568.91,569.25,538.77,538.7923,37308500,0,1,72.42224191,72.46552391,68.58541997,68.58825876,261159500
12/4/2012,581.8,581.8,572.13,575.8454,19895300,0,1,74.06313889,74.06313889,72.83214791,73.30511832,139267100
12/3/2012,593.65,594.59,585.5,586.19,13010000,0,1,75.57164387,75.69130587,74.53414888,74.62198588,91070000
11/30/2012,586.79,588.4,582.68,585.28,13975700,0,1,74.69836588,74.90331888,74.17516289,74.50614288,97829900
11/29/2012,590.215,594.25,585.25,589.36,18382100,0,1,75.13436837,75.64802387,74.50232388,75.02552688,128674700
11/28/2012,577.27,585.8,572.26,582.94,18602300,0,1,73.4864699,74.57233888,72.84869691,74.20826089,130216100
11/27/2012,589.55,590.42,580.1,584.78,19047500,0,1,75.04971387,75.16046487,73.84672889,74.44249288,133332500
11/26/2012,575.9,590,573.71,589.53,22520700,0,1,73.3120689,75.10699887,73.03328191,75.04716787,157644900
11/23/2012,567.17,572,562.6,571.5,9743800,0,1,72.20073992,72.81559891,71.61897893,72.75194891,68206600
11/21/2012,564.25,567.37,556.6,561.7,13321500,0,1,71.82902392,72.22619992,70.85517894,71.50440893,93250500
11/20/2012,571.91,571.95,554.58,560.9134,22955500,0,1,72.80414191,72.80923391,70.59803294,71.40427475,160688500
11/19/2012,540.7097,567.5,539.88,565.73,29404200,0,1,68.83234378,72.24274892,68.72672297,72.01742792,205829400
11/16/2012,525.2,530,505.7501,527.678,45246200,0,1,66.857959,67.46899899,64.38198676,67.17340839,316723400
11/15/2012,537.53,539.5,522.62,525.62,28211100,0,1,68.42756797,68.67834897,66.529525,66.911425,197477700
11/14/2012,545.5,547.45,536.18,536.88,17041800,0,1,69.44214896,69.69038396,68.25571298,68.34482298,119292600
11/13/2012,538.91,550.48,536.36,542.898,19033900,0,1,68.60324197,70.07610295,68.27862698,69.11091436,133237300
11/12/2012,554.15,554.5,538.65,542.83,18421500,0,1,70.54329394,70.58784894,68.57014397,69.10225796,128950500
11/9/2012,540.42,554.88,533.72,547.06,33211200,0,1,68.79546497,70.63622294,67.94255498,69.64073696,232478400
11/8/2012,560.63,562.23,535.29,537.75,37719500,0,1,71.36819793,71.57187793,68.14241598,68.45557397,264036500
11/7/2012,573.835,574.54,555.75,558.0019,28344600,2.65,1,73.0491944,73.1389409,70.74697394,71.03364081,198412200
11/6/2012,590.23,590.74,580.09,582.8495,13389900,0,1,74.7811357,74.84575183,73.49641497,73.84603892,93729300
11/5/2012,583.515,587.77,577.6,584.6211,18897700,0,1,73.93035663,74.46945789,73.18093621,74.07049762,132283900
11/2/2012,595.89,596.95,574.75,576.8,21406200,0,1,75.49824806,75.63254825,72.81984606,73.07957757,149843400
11/1/2012,598.22,603,594.17,596.5399,12903500,0,1,75.79345509,76.39907295,75.28032699,75.58058928,90324500
10/31/2012,594.88,601.96,587.7,595.32,18214400,0,1,75.37028278,76.26730672,74.46058901,75.42603003,127500800
10/26/2012,609.43,614,591,604,36372600,0,1,77.21374299,77.79275421,74.87869339,76.52577124,254608200
10/25/2012,620,622,605.55,609.538,23440200,0,1,78.55294399,78.80634058,76.7221536,77.22742641,164081400
10/24/2012,621.44,626.55,610.64,616.83,19947400,0,1,78.73538954,79.38281783,77.36704793,78.15131039,139631800
10/23/2012,631,633.9,611.7,613.3554,25255200,0,1,79.94662526,80.31405032,77.50134813,77.71108449,176786400
10/22/2012,612.42,635.38,610.76,634.03,19526100,0,1,77.5925709,80.5015638,77.38225173,80.33052109,136682700
10/19/2012,631.05,631.77,609.62,609.84,26574500,0,1,79.95296017,80.04418294,77.23781567,77.2656893,186021500
10/18/2012,639.59,642.06,630,632.64,17022300,0,1,81.03496362,81.34790842,79.81992696,80.15441046,119156100
10/17/2012,648.87,652.79,644,644.6136,13894200,0,1,82.21072382,82.70738114,81.59370311,81.67144519,97259400
10/16/2012,635.34,650.3,631,649.7925,19634700,0,1,80.49649586,82.39190238,79.94662526,82.327603,137442900
10/15/2012,632.35,635.13,623.85,634.76,15446500,0,1,80.11766796,80.46988922,79.04073243,80.42301085,108125500
